Index,condition,participantId,geo-event-count,geo-enjoyable,geo-likable,geo-pleasing,geo-nice,geo-appealing,geo-BeauVis,geo-moire,geo-replay-notes,icon-event-count,icon-enjoyable,icon-likable,icon-pleasing,icon-nice,icon-appealing,icon-BeauVis,icon-moire,icon-replay-notes,gender,gender-other,age,experience,design-strategies-goals,design-strategies-iconic-textures,design-strategies-geometric-textures,Distinguishability,Clarity,Semantic association,Visual pleasure,Visual balance,Other,compare-texture,Geometric,Iconic,different-chart-geo,work for bar,work for pie,work for map,different-chart-icon,work for bar,work for pie,work for map,notes,insights
P-056,"{'condition_chart': 0, 'condition_texture': 0}",f26d08b6-aaa1-4b35-a8ac-191409a6b527,410,0,0,0,0,0,0,0,,145,0,0,0,0,0,0,0,,Man,,62,39,"The moiré gives me a headache, is distracting and unnecessary.",less is more,"remove, deletem erase",,x (Moire),,,,,I hate them.,/,/,Friend don't make friends use pie charts. The map without context is meaningless. No idea what you're trying to show.,NA,No,No,"It's broken, but a pattern fill isn't going to fix it.",NA,No,No,,
P-011,"{'condition_chart': 1, 'condition_texture': 0}",937ff227-78d8-4cc0-bfe2-a46aaaf840b3,776,5,5,5,6,5,5.2,6,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=937ff227-78d8-4cc0-bfe2-a46aaaf840b3 (1) try different default pattern sets (2) work on one (3) edit patterns one by one (4) focus on one pattern specifically, the olive one: different pattern type (dot, line, grid), and different angles of grid, change background color, etc. (5) test with different datasets during the whole process",1195,3,3,3,3,3,3,3,,Man,,34,6,"I tried to make sure that neighboring patterns could be clearly distinguished from each other. I also tried to achieve a mostly even gray level for each pattern, so that no single category pops out too much.","Here I started with adapting the densities and sizes for all patterns at once, which provided a relatively even gray level. I chose to mostly alternate between filled and non-filled icons, since the order of the categories was constant for all datasets. I only made minor adjustment to the sizes, rotations and densities for each icon. The discriminability was already high due to the iconic designs.","The different pattern types had very different defaults for the overall gray level and some suffered from a ""flickering"" effect. I adapted all densities, sizes and/or line widths individually to achieve an even visual look while maintaining enough discriminability.",,,,,x,,"If each category can be described by an icon that (i) is recognizable, (ii) can be easily parsed at small sizes, and (iii) does not cause patterns that are too busy (e.g., flickering), then iconic designs are a nice strategy for patterns, since gray level, density and other parameters can be kept relatively constant and the discriminability is mostly provided by the iconic designs.",/,keep constant and disciminability,"For the bar chart, the designed patters still work well; the patterned regions big enough and they are well separated. Here, of course, the patterns are not strictly necessary at all, as the categories are clearly defined by the x-axis. Only in combination with other charts would it make sense to use the patterns here. For the map, I would adjust some of the densities and sizes to account for the smaller area of the regions. However, the patterns still work reasonably in my opinion.  Depending on the task I would perhaps design some of the patterns to be more distinc (e.g., darker) to make it easier to find regions of the same category.",Yes,NA,Yes,"Again, for the bar charts the patterns work, although they are not necessary. For the map, the densities and sizes would have to be adjusted a lot, such that at least one full icon can be spotted per region. However, this might lead to quite a bit of visual clutter, so perhaps the iconic design is not the ideal choice here.",Yes,NA,No,,
P-058,"{'condition_chart': 1, 'condition_texture': 1}",4dd4d82d-ff6a-4716-9f90-02821bd3c11a,729,6,5,5,5,6,5.4,4,,889,3,3,4,3,3,3.2,2,,Man,,36,6,"Clarity, avoid visual crowding","Alternate angle between consecutive icons. For celery, the detailed icon set looked too busy, but for corm and eggplant the additional lines really help recognize them. Ensure each section has an icon that is fully visible and centered (e.g. moved the carrots as all the icons were cut by borders).","Keep light colors and relatively low density to avoid visual crowding. Alternate denser and less dense patterns to make it visually pleasing. Ensure each pattern is unique and can be recognized purely from the legend. For line patterns, make sure they are not parallel to the separators.",,"x (light color, low density)",x (complete icon),,,,"Less visually pleasing than color-based representations. The icons help identify at a glance, but only if they are obvious to identify: I have trouble with the celery and first thought the olives were cherries, if there was parsnip it would be hard to distinguish from carrots. So here it helps, but the geometric patterns are more generally reliable. Geometric patterns can easily become overwhelming/ugly.",easily become overwhelming or ugly,icon semantic association,"Overall they work: they are still quite distinguishable.
Barchart: I would go with a slightly more dense design, as some bars look empty. Map: for small departments with a less dense pattern, only few motifs appear within the department, I would use a denser motif. Also, the angles of the lines are too similar to the angles of the grids, since being parallel to the edges is not a concern here I would use more recognizable angles.",Yes,NA,Yes,"Bar chart: not great, but with centering and densifying a bit it could work. Map: absolutely not, we never get the entire icon, and the thickness of the motifs is indistinguishable from the thickness of the borders.",No,NA,No,,
,"{""condition_chart"":2,""condition_texture"":0}",115bbe09-70e7-4581-b5a5-a66a2dc85567,887,4,4,3,4,6,4.2,6,,1642,3,4,3,3,3,3.2,3,,Woman,,50,10,visually clarify the different regions,"size, density, different shape colors, tried to segregate different regions",rotation; line thickness,x,x,,,,,Icons are easy to understand right away so I like that one more. But geometric is more relaxing to the eye.,,Icons are easier,yes I think so,Yes,Yes,NA,haha this looks great; very clear,Yes,Yes,NA,,
P-001,"{'condition_chart': 0, 'condition_texture': 0}",d2a18690-d37b-4745-b4ad-365b103e0973,696,5,6,5,5,5,5.2,4,,1509,2,4,4,2,5,3.4,2,,Non-binary / Genderqueer / Third gender,,25,5,I wanted readers to be able to distinguish across bars in the chart but also to not have too much saturation clustered together.,"I tried to make sure at least one of the icons was fully visible in the design or at least visible enough to understand what it is if the bar is short. I also tried to not crowd the fully black icons, but I tend to prefer those over the open ones, so I don't think I was as successful at this. ",I tried to alternate the kinds of patterns in the chart and make use of the full black and white as well as patterns.,x (alternate patter types),,x (at least one complete icon),,,,"Geometric is easier for me than iconic patterns. the iconic patterns needed to be readable in a way that the geometric patterns did not. If the icons were too crowded or sparsely located, it would be very difficult to use them as a reader in a meaningful way.",geo easier read,/,"Definitely not for the map. The direct labels on the bar chart and the pie chart are what make them more readable. in the map, the patterns tend to blend together more, and all I can really see is net saturation of black. ",NA,Yes,No,"Once again, for the pie chart yes, but not the map. In the map, it's too hard to tell what the icons themselves are, and they aren't very readable. The boundaries of the counties on the map are harder to distinguish than the boundaries of the pie chart, where the display clearly switches from one print to another.",NA,Yes,No,,
P-001,"{'condition_chart': 0, 'condition_texture': 1}",b0b54dda-ad10-43ff-9557-62eea135b5eb,1122,3,3,3,3,2,2.8,2,,2,4,3,4,2,5,3.6,3,,Woman,,22,1,I wanted to make them each appear distinctly different.,I accidentally hit next and couldn't go back so I wasnt quite finished. I wanted to ensure however that the patterns looked different from one another and also representative (size wise and rotation wise) of the actual food.,"I just tried making them all look different enough without being too distracting or hard to read/discern from one another. I used the dot feature for all of them and just changed density and dot size to look like different shades. I found that in my opinion, having the lines and grids messed with my eyes and looked like an optical illusion.","x (geo: size, density)",x,iconic: size and rotation;,use dot for all,,use dot for all.,"Requires a bit more thought than using colors (ie purple for eggplant and red for tomato). I think iconic representations are good for very specific data visualizations, but for geometric patterns I just cared the most about making them look different from one another.",/,Iconic good for specific datasets.,"In the context of the pie chart yes, but in the map it is too complicated. It makes me wonder what the reasoning for the different shades on the map is, perhaps if it were a population density map, it would be ok because a more dense pattern could mean a more dense region.",NA,Yes,No,No I don't think so for the pie chart and definitely not for the map. If I did a better job at making the patterns look more different from one another maybe it could kind of work.,NA,No,No,accidentally hit nex,
P-027,"{'condition_chart': 0, 'condition_texture': 0}",b78d1346-03af-4cd9-aeb2-fc00ddad547e,4,4,4,4,4,4,4,7,"https://revisit.dev/replication-studies/pattern-design-study/MTdrZWtXYTNtR1hvUU9zNit1Z1pRQT09?participantId=b78d1346-03af-4cd9-aeb2-fc00ddad547e Just pick one default pattern set, no edit",162,4,4,4,4,3,3.8,3,https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=b78d1346-03af-4cd9-aeb2-fc00ddad547e Only edit the carrot pattern based on the default pattern set.,Man,,79,50,Make the categories visually distinct,Make the categories visually distinct,Make the categories visually distinct,x,,,,,,"Iconic are easier in some ways, but far less flexible than geometric",/,Iconic easier but less fexible,"Yes, they work here, but I would have made carrot celery and corn more visually distinct",NA,Yes,Yes,"No, these are horrible in this context. I should have used fill and other properties",NA,No,No,,
P-044,"{'condition_chart': 2, 'condition_texture': 0}",6bc5c535-14b0-4dbd-b6f3-194ccc924104,706,5,5,5,5,5,5,5,,1482,3,5,2,3,6,3.8,3,,Woman,,32,4.5,"I wanted each encoding to be easily distinguishable, and I tried my best to not make it look too ugly. For the icons, I tried to ensure that each icon was visually parsable in each province (not always successfully).",I didn't have a formal method/principle,I didn't have a formal method/principle,x,,,x,,,This task was much harder with the iconic patterns than the geometric. I also wish grayscale was available.,/,harder than geo,"Yes, I think it mostly works. There might be some tweaks I would make to the tomato, mushroom and celery designs though.",Yes,Yes,NA,"Yes, I think it works better than with the provinces because the sizes of each bar/slice are much more uniform.",Yes,Yes,NA,,
P-062,"{'condition_chart': 0, 'condition_texture': 1}",89412faa-451d-41f0-8349-40e47f2bba9e,794,6,5,5,5,6,5.4,3,"https://revisit.dev/replication-studies/pattern-design-study/V3ZPZStsZmxBWDNta2p4MyttU1dJZz09?participantId=89412faa-451d-41f0-8349-40e47f2bba9e (1) try different default pattern sets (2) work on one (3) edit patterns one by one (4) focus on one pattern specifically, the olive one: different pattern type (dot, line, grid), and different angles of grid, change background color, etc. (5) test with different datasets during the whole process",1931,4,4,4,4,4,4,2,,Man,,25,2,"The goal was to make an easily differentiable per-bar design. However, while designing I found that the goal for the iconic patterns was moreso to have a visually pleasing centering/formatting for each icon, rather than a more distinct design per bar.","For the iconic patterns I focused on getting the most ""clean"" appearance possible; aka, centering a single icon or avoiding edge overlap when possible. Additionally, I tried to make sure the vegetable was in an orientation that made sense (ie no upside down olives). I also chose to use the most simple design for most of the icons in order to avoid visual clutter. ","When choosing the parameters for the geometric designs, I wanted to choose an assortment that created the most visual distinction between individual bars, regardless of placement. If the order were changed, the bars should still be distinct from eachother. For the current layout, I focused on making sure that there was never a line pattern next to a line, etc.. When a pattern must be repeated (there's only three after all), I used the different parameters to change the look so that the two repeats would not be too similar. When doing two different lines, I changed the angle and stroke width so that there are two encodings which are different. For the dots, I used dot/circle differentiation as well as density and size. For the grid, I only changed the background color. I experimented with different angles of grid lines, but those did not result in a result which felt different enough at first glance. Finally, the last bar is simply left black.",x (multiple channel for geo),,,,,,"Generally I would avoid using iconic patterns. They can be messy if not fine-tuned, and they don't lead to any additional insights, while taking away from visual distinction between bars. The geometric data representation is vastly easier to use AND design in my experience.",/,iconic harder,"In the pie chart, the patterns work because there is only one instance of each. When used on a map like the right example, they do not work and become difficult to see. I think part of this is that the individual instances are a lot smaller, so large patterns are not immediately obvious. Also, and probably more importantly, there are so many instances of each pattern that it becomes difficult to draw conclusions.",NA,Yes,No,"The pie chart works, but isn't great. Since the density/size is different, it can be a little strange to compare between slices. The map; however, is entirely unusable. You'd need very small icons in order to draw anything meaningful from a given segment.",NA,No,No,,
,"{""condition_chart"":2,""condition_texture"":0}",2c9c049e-668b-4ca5-8b46-6d93dab4a645,1881,6,6,4,5,6,5.4,5,,2393,4,4,4,4,4,4,2,,Woman,,29,5,Every single city could show the distinct vegetable by themselves.,Not really. Just make them distinguish from each other,Difficult. Tried to make every cell and category seem different,x,,,,,,iconic is difficult to design because the icons contain too much details,,icons are difficult,Should be. Maybe better in simple chart like these two. ,Yes,Yes,NA,"Yes, better",Yes,Yes,NA,,
