ProlificId,Condition,Duration,selectedCharts
60a48adfe091e410f4eaba34,255ChartSearch_4,1602,1
60a48adfe091e410f4eaba34,255ChartSearch_4,10148,1
60a48adfe091e410f4eaba34,255ChartSearch_4,7202,1
67c44dd612fd47cf995211d8,255ChartSearch_4,503,7
67c785504b8ce5233217d7aa,255ChartSearch_4,1943,9
67c785504b8ce5233217d7aa,255ChartSearch_4,9418,7
6636db94fa3ed150c2d78447,255ChartSearch_4,4125,1
6636db94fa3ed150c2d78447,255ChartSearch_4,4085,0
6636db94fa3ed150c2d78447,255ChartSearch_4,2255,5
6636db94fa3ed150c2d78447,255ChartSearch_4,10802,1
6636db94fa3ed150c2d78447,255ChartSearch_4,4988,0
6636db94fa3ed150c2d78447,255ChartSearch_4,6750,1
6636db94fa3ed150c2d78447,255ChartSearch_4,5938,2
6636db94fa3ed150c2d78447,255ChartSearch_4,14381,1
6636db94fa3ed150c2d78447,255ChartSearch_4,13379,1
6636db94fa3ed150c2d78447,255ChartSearch_4,4545,0
6636db94fa3ed150c2d78447,255ChartSearch_4,6817,6
6636db94fa3ed150c2d78447,255ChartSearch_4,3993,1
63fa2f029381a13d9f2a36a8,255ChartSearch_4,2525,2
63fa2f029381a13d9f2a36a8,255ChartSearch_4,21589,1
63fa2f029381a13d9f2a36a8,255ChartSearch_4,505,0
63fa2f029381a13d9f2a36a8,255ChartSearch_4,1722,1
63fa2f029381a13d9f2a36a8,255ChartSearch_4,23303,1
5e646461698a071f2f15423e,255ChartSearch_4,43498,0
5e646461698a071f2f15423e,255ChartSearch_4,3725,2
668758de3a65db8f01f8ee7f,255ChartSearch_4,2925,5
668758de3a65db8f01f8ee7f,255ChartSearch_4,5650,1
668758de3a65db8f01f8ee7f,255ChartSearch_4,2031,4
669036d23349747de1e78aba,255ChartSearch_4,8366,2
669036d23349747de1e78aba,255ChartSearch_4,1035,1
669036d23349747de1e78aba,255ChartSearch_4,638,0
669036d23349747de1e78aba,255ChartSearch_4,6964,0
669036d23349747de1e78aba,255ChartSearch_4,516,0
669036d23349747de1e78aba,255ChartSearch_4,2825,5
669036d23349747de1e78aba,255ChartSearch_4,3269,2
667a2a09c4912ebdc9078387,255ChartSearch_4,3864,133
667a2a09c4912ebdc9078387,255ChartSearch_4,4106,56
66d8790772c9e0e4ee96259c,255ChartSearch_4,5391,1
66d8790772c9e0e4ee96259c,255ChartSearch_4,1934,1
6667627ba6d0d6f7b08686ab,255ChartSearch_4,2458,1
6667627ba6d0d6f7b08686ab,255ChartSearch_4,8972,1
6667627ba6d0d6f7b08686ab,255ChartSearch_4,2428,1
6667627ba6d0d6f7b08686ab,255ChartSearch_4,25502,1
655624387871c58683bd4509,255ChartSearch_4,1285,0
655624387871c58683bd4509,255ChartSearch_4,912,0
655624387871c58683bd4509,255ChartSearch_4,1906,5
655624387871c58683bd4509,255ChartSearch_4,7236,2
655624387871c58683bd4509,255ChartSearch_4,1338,1
67ac8ac7ff629901b8ab0ffd,255ChartSearch_4,527,70
67ac8ac7ff629901b8ab0ffd,255ChartSearch_4,1796,1
67ac8ac7ff629901b8ab0ffd,255ChartSearch_4,17373,1
67acab4438884c095874c5a8,255ChartSearch_4,1087,107
67acab4438884c095874c5a8,255ChartSearch_4,1403,0
67acab4438884c095874c5a8,255ChartSearch_4,799,228
67acab4438884c095874c5a8,255ChartSearch_4,1301,23
67acab4438884c095874c5a8,255ChartSearch_4,1132,1
67ac2151e5b37e0b91a5af0e,255ChartSearch_4,1418,1
669619601ab688fdc42bed2d,255ChartSearch_4,5240,6
669619601ab688fdc42bed2d,255ChartSearch_4,14962,1
