,ProlificId,Condition,College,Duration,SearchValue,PartOfSearch
0,6723bebed3cb23087bebc5bd,search,Inter American University of Puerto Rico-Barranquitas,5050,,False
1,6723bebed3cb23087bebc5bd,search,Claflin University,9128,,False
2,6723bebed3cb23087bebc5bd,search,Stanford University,2600,,False
3,6723bebed3cb23087bebc5bd,search,Yale University,3600,,False
4,6723bebed3cb23087bebc5bd,search,Princeton University,1241,,False
5,6723bebed3cb23087bebc5bd,search,Harvard University,632,,False
6,6723bebed3cb23087bebc5bd,search,Stanford University,2104,,False
7,6723bebed3cb23087bebc5bd,search,Columbia University in the City of New York,3077,,False
8,6723bebed3cb23087bebc5bd,search,Harvard University,3489,,False
9,6723bebed3cb23087bebc5bd,search,Yale University,1138,,False
10,6723bebed3cb23087bebc5bd,search,Duke University,520,,False
11,6723bebed3cb23087bebc5bd,search,Yale University,1723,,False
12,6723bebed3cb23087bebc5bd,search,Warner University,6761,,False
13,6723bebed3cb23087bebc5bd,search,Warner University,5938,,False
14,6723bebed3cb23087bebc5bd,search,Touro College,2417,,False
15,6723bebed3cb23087bebc5bd,search,Haverford College,523,,False
16,6723bebed3cb23087bebc5bd,search,Tulane University of Louisiana,12615,,False
17,628f572a2d1304a34b9e1a37,no search,Lincoln University,3446,,False
18,628f572a2d1304a34b9e1a37,no search,Johns Hopkins University,15008,,False
19,628f572a2d1304a34b9e1a37,no search,Columbia University in the City of New York,8305,,False
20,628f572a2d1304a34b9e1a37,no search,Cooper Union for the Advancement of Science and Art,8829,,False
21,628f572a2d1304a34b9e1a37,no search,Hamilton College,9859,,False
22,628f572a2d1304a34b9e1a37,no search,Art Academy of Cincinnati,5825,,False
23,628f572a2d1304a34b9e1a37,no search,Wellesley College,8739,,False
24,5d5b0dd7c032a2001ad7cf5d,search,Yale University,924,,False
25,5d5b0dd7c032a2001ad7cf5d,search,Yale University,1969,,False
26,5d5b0dd7c032a2001ad7cf5d,search,Yale University,3468,,False
27,5d5b0dd7c032a2001ad7cf5d,search,Yale University,2978,,False
28,5d5b0dd7c032a2001ad7cf5d,search,Stanford University,877,,False
29,5d5b0dd7c032a2001ad7cf5d,search,Yale University,1218,,False
30,5d5b0dd7c032a2001ad7cf5d,search,Princeton University,566,,False
31,5d5b0dd7c032a2001ad7cf5d,search,Duke University,849,,False
32,5d5b0dd7c032a2001ad7cf5d,search,Dartmouth College,931,,False
33,5d5b0dd7c032a2001ad7cf5d,search,Massachusetts Institute of Technology,1173,,False
34,5d5b0dd7c032a2001ad7cf5d,search,California Institute of Technology,1256,,False
35,5d5b0dd7c032a2001ad7cf5d,search,University of Pennsylvania,912,,False
36,5d5b0dd7c032a2001ad7cf5d,search,Columbia University in the City of New York,788,,False
37,5d5b0dd7c032a2001ad7cf5d,search,Northwestern University,573,,False
38,5d5b0dd7c032a2001ad7cf5d,search,Yale University,530,,False
39,5d5b0dd7c032a2001ad7cf5d,search,Yale University,731,,False
40,5d5b0dd7c032a2001ad7cf5d,search,Babson College,1016,,False
41,5d5b0dd7c032a2001ad7cf5d,search,College of the Holy Cross,1550,,False
42,5d5b0dd7c032a2001ad7cf5d,search,Bucknell University,1021,,False
43,5d5b0dd7c032a2001ad7cf5d,search,Tufts University,1121,,False
44,5d5b0dd7c032a2001ad7cf5d,search,Vanderbilt University,753,,False
45,5d5b0dd7c032a2001ad7cf5d,search,Tufts University,2578,,False
46,5d5b0dd7c032a2001ad7cf5d,search,Stanford University,572,,False
47,5d5b0dd7c032a2001ad7cf5d,search,Harvard University,4115,,False
48,5d5b0dd7c032a2001ad7cf5d,search,Lafayette College,1602,,False
49,5d5b0dd7c032a2001ad7cf5d,search,Union College,690,,False
50,5d5b0dd7c032a2001ad7cf5d,search,Fort Valley State University,1505,,False
51,5d5b0dd7c032a2001ad7cf5d,search,Florida Memorial University,2114,,False
52,5d5b0dd7c032a2001ad7cf5d,search,Touro College,1673,,False
53,5d5b0dd7c032a2001ad7cf5d,search,Rust College,1060,,False
54,5d5b0dd7c032a2001ad7cf5d,search,Oakwood University,721,,False
55,5d5b0dd7c032a2001ad7cf5d,search,Claflin University,748,,False
56,5d5b0dd7c032a2001ad7cf5d,search,North Carolina Central University,913,,False
57,5d5b0dd7c032a2001ad7cf5d,search,Cleveland Institute of Music,1480,,False
58,5d5b0dd7c032a2001ad7cf5d,search,Flagler College-St Augustine,815,,False
59,5d5b0dd7c032a2001ad7cf5d,search,Bridgewater College,1873,,False
60,5d5b0dd7c032a2001ad7cf5d,search,Johnson College,834,,False
